security_id,security_ticker,security_name,sector_id,sector
191168,BPL,Burshane LPG (Pakistan) Limited,0821,OIL & GAS MARKETING COMPANIES
191170,SHEL,Shell Pakistan Limited,0821,OIL & GAS MARKETING COMPANIES
191180,SSGC,Sui Southern Gas Company Limited,0821,OIL & GAS MARKETING COMPANIES
191200,SNGP,Sui Northern Gas Pipelines Limited,0821,OIL & GAS MARKETING COMPANIES
201040,HASCOL,Hascol Petroleum Limited,0821,OIL & GAS MARKETING COMPANIES
201050,HTL,Hi-Tech Lubricants Limited,0821,OIL & GAS MARKETING COMPANIES
201075,MARI,Mari Petroleum Company Limited,0820,OIL & GAS EXPLORATION COMPANIES
201080,OGDC,Oil & Gas Development Company Limited,0820,OIL & GAS EXPLORATION COMPANIES
201120,POL,Pakistan Oilfields Limited,0820,OIL & GAS EXPLORATION COMPANIES
201130,PPL,Pakistan Petroleum Limited,0820,OIL & GAS EXPLORATION COMPANIES
210980,ADOS,Ados Pakistan Limited,0808,ENGINEERING
211010,ASL,Aisha Steel Mills Limited,0808,ENGINEERING
211011,ASLPS,Aisha Steel Convertible (Pref),0808,ENGINEERING
211013,ASLCPS,Aisha Steel Convt (Pref) Right,0808,ENGINEERING
211014,ASTL,Amreli Steels Limited,0808,ENGINEERING
